S. No.,"tracking_id,",cluster,lat,lng,,,,"tracking_id,"
1,UID1000043346,0,12.9566931,77.5569299,,,,
2,UID1000044020,0,12.9600942,77.5910904,,,,
3,UID1000044524,0,12.8863157,77.5557903,,,,
4,UID1000185738,0,12.9295261,77.5461609,,,,
5,UID1000185756,0,12.9337934,77.547127,,,,
6,UID1000185775,0,12.904135,77.5674333,,,,
7,UID1000185816,0,12.9465296,77.5559102,,,,
8,UID1000187129,0,12.9303848,77.5617237,,,,
9,UID1000188971,0,12.9068383,77.5700962,,,,
10,UID1000189327,0,12.9524521,77.6013296,,,,
11,UID1000189353,0,12.9467313,77.5998727,,,,
12,UID1000193671,0,12.9423553,77.5496347,,,,
13,UID1000194473,0,12.9526,77.566,,,,
14,UID1000194474,0,12.9526,77.5656,,,,
15,UID1000194475,0,12.9516,77.5651,,,,
16,UID1000194540,0,12.9216,77.5655,,,,
17,UID1000194542,0,12.9176,77.558,,,,
18,UID1000194543,0,12.9207,77.5555,,,,
19,UID1000194544,0,12.9463,77.5528,,,,
20,UID1000194545,0,12.9468,77.5527,,,,
21,UID1000194546,0,12.9464,77.5543,,,,
22,UID1000194548,0,12.9439,77.5912,,,,
23,UID1000194549,0,12.9424,77.5929,,,,
24,UID1000194550,0,12.9509,77.57,,,,
25,UID1000194551,0,12.9574,77.5719,,,,
26,UID1000194552,0,12.9559,77.5722,,,,
27,UID1000194553,0,12.9421,77.5928,,,,
28,UID1000194718,0,12.9567,77.555,,,,
29,UID1000194719,0,12.9567,77.5551,,,,
30,UID1000194720,0,12.9562,77.5565,,,,
31,UID1000194721,0,12.9574,77.5547,,,,
32,UID1000194722,0,12.9567,77.5551,,,,
33,UID1000194744,0,12.9536,77.5812,,,,
34,UID1000194745,,12.9533,77.5814,,,,
35,UID1000194746,,12.9552,77.5816,,,,
36,UID1000194747,,12.9552,77.5823,,,,
37,UID1000194748,,12.9545,77.5822,,,,
38,UID1000194749,,12.9542,77.5824,,,,
39,UID1000194750,,12.9545,77.5815,,,,
40,UID1000194751,,12.9541,77.5814,,,,
41,UID1000194752,,12.9541,77.5823,,,,
42,UID1000194753,,12.9504,77.5805,,,,
43,UID1000194754,,12.9505,77.5807,,,,
44,UID1000194755,,12.951,77.5814,,,,
45,UID1000194783,,12.9252,77.5589,,,,
46,UID1000194784,,12.9288,77.5626,,,,
47,UID1000194785,,12.9347,77.5661,,,,
48,UID1000194786,,12.9356,77.566,,,,
