S. No.,tracking_id,cluster,lat,lng
1,UID1000043346,0,12.9566931,77.5569299
2,UID1000044020,0,12.9600942,77.5910904
3,UID1000044524,0,12.8863157,77.5557903
4,UID1000185738,0,12.9295261,77.5461609
5,UID1000185756,0,12.9337934,77.547127
6,UID1000185775,0,12.904135,77.5674333
7,UID1000185816,0,12.9465296,77.5559102
8,UID1000187129,0,12.9303848,77.5617237
9,UID1000188971,0,12.9068383,77.5700962
10,UID1000189327,0,12.9524521,77.6013296
11,UID1000189353,0,12.9467313,77.5998727
12,UID1000193671,0,12.9423553,77.5496347
13,UID1000194473,0,12.9526,77.566
14,UID1000194474,0,12.9526,77.5656
15,UID1000194475,0,12.9516,77.5651
16,UID1000194540,0,12.9216,77.5655
17,UID1000194542,0,12.9176,77.558
18,UID1000194543,0,12.9207,77.5555
19,UID1000194544,0,12.9463,77.5528
20,UID1000194545,0,12.9468,77.5527
21,UID1000194546,0,12.9464,77.5543
22,UID1000194548,0,12.9439,77.5912
23,UID1000194549,0,12.9424,77.5929
24,UID1000194550,0,12.9509,77.57
25,UID1000194551,0,12.9574,77.5719
26,UID1000194552,0,12.9559,77.5722
27,UID1000194553,0,12.9421,77.5928
28,UID1000194718,0,12.9567,77.555
29,UID1000194719,0,12.9567,77.5551
30,UID1000194720,0,12.9562,77.5565
31,UID1000194721,0,12.9574,77.5547
32,UID1000194722,0,12.9567,77.5551
33,UID1000194744,0,12.9536,77.5812
34,UID1000194745,,12.9533,77.5814
35,UID1000194746,,12.9552,77.5816
36,UID1000194747,,12.9552,77.5823
37,UID1000194748,,12.9545,77.5822
38,UID1000194749,,12.9542,77.5824
39,UID1000194750,,12.9545,77.5815
40,UID1000194751,,12.9541,77.5814
41,UID1000194752,,12.9541,77.5823
42,UID1000194753,,12.9504,77.5805
43,UID1000194754,,12.9505,77.5807
44,UID1000194755,,12.951,77.5814
45,UID1000194783,,12.9252,77.5589
46,UID1000194784,,12.9288,77.5626
47,UID1000194785,,12.9347,77.5661
48,UID1000194786,,12.9356,77.566
49,UID1000194787,,12.9558,77.5616
50,UID1000194788,,12.9536,77.5626
51,UID1000194789,,12.954,77.5633
52,UID1000194790,,12.9516,77.548
53,UID1000194841,,12.9448,77.5932
54,UID1000194842,,12.9349,77.5533
55,UID1000194843,,12.9551,77.5651
56,UID1000194844,,12.9467,77.5405
57,UID1000194845,,12.9361,77.5537
58,UID1000194846,,12.9513,77.5428
59,UID1000194847,,12.9513,77.5419
60,UID1000194848,,12.9513,77.5418
61,UID1000194849,,12.9092,77.5714
62,UID1000194850,,12.9032,77.5673
63,UID1000194851,,12.9069,77.57
64,UID1000194852,,12.9065,77.5693
65,UID1000194853,,12.9077,77.5691
66,UID1000194854,,12.9067,77.5698
67,UID1000194855,,12.906,77.5706
68,UID1000194856,,12.9035,77.5693
69,UID1000194857,,12.9034,77.5688
70,UID1000194858,,12.9035,77.5681
71,UID1000194859,,12.9045,77.5688
72,UID1000194860,,12.904,77.5682
73,UID1000194861,,12.9039,77.5674
74,UID1000194862,,12.9038,77.5674
75,UID1000194863,,12.9029,77.5673
76,UID1000194864,,12.903,77.5686
77,UID1000194865,,12.9028,77.5692
78,UID1000194866,,12.9095,77.5717
79,UID1000194867,,12.9095,77.5717
80,UID1000194868,,12.914,77.567
81,UID1000194869,,12.9141,77.5662
82,UID1000194870,,12.9457,77.5923
83,UID1000194871,,12.9471,77.5915
84,UID1000194872,,12.93,77.561
85,UID1000194873,,12.9071,77.5692
86,UID1000194874,,12.9059,77.5697
87,UID1000194875,,12.9059,77.5704
88,UID1000194877,,12.9053,77.5684
89,UID1000194878,,12.905,77.5684
90,UID1000194879,,12.9043,77.5683
91,UID1000194883,,12.905,77.5677
92,UID1000194943,,12.9225,77.5562
93,UID1000194944,,12.9155,77.5577
94,UID1000194945,,12.9277,77.562
95,UID1000194946,,12.9377,77.5719
96,UID1000194947,,12.937,77.5723
97,UID1000195019,,12.9028,77.5695
98,UID1000195020,,12.9124,77.5726
99,UID1000195023,,12.9126,77.5738
